Biker_Age,Riding_Experience,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
28.0,5.0,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,3.0,50.0,61.0,1.0,0.0,Moderate Accident
29.0,0.0,No,Inherited,Yes,New,Village Road,Dry,Clear,Afternoon,2.0,50.0,93.0,3.0,0.0,Moderate Accident
29.0,2.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,7.0,50.0,77.0,3.0,1.0,Moderate Accident
22.0,2.0,No,Inherited,No,New,Village Road,Wet,Rainy,Afternoon,8.0,50.0,88.0,1.0,0.0,Moderate Accident
17.0,2.0,Yes,Inherited,Yes,Old,Village Road,Dry,Clear,Noon,5.0,50.0,92.0,1.0,1.0,Moderate Accident
28.0,3.0,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,7.0,50.0,103.0,3.0,0.0,Moderate Accident
17.0,0.0,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Evening,6.0,50.0,58.0,3.0,0.0,Moderate Accident
23.0,0.0,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,7.0,50.0,93.0,2.0,0.0,Moderate Accident
30.0,5.0,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,7.0,50.0,114.0,2.0,0.0,Moderate Accident
28.0,0.0,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Night,6.0,50.0,63.0,3.0,0.0,Moderate Accident
15.0,5.0,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,4.0,50.0,114.0,3.0,0.0,Moderate Accident
24.0,4.0,No,Inherited,Yes,New,Village Road,Dry,Foggy,Noon,3.0,50.0,104.0,2.0,0.0,Moderate Accident
18.0,4.0,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,2.0,50.0,62.0,2.0,0.0,Moderate Accident
